Age;3%;25%;75%;97%
0;2400;3000;3600;4200
1;3000;3600;4400;5050
2;3600;4200;5200;6000
3;4100;4900;6000;6900
4;4600;5400;6700;7700
5;5100;6000;7400;8400
6;5600;6600;8000;9200
9;6600;7800;9400;10700
12;7400;8600;10400;11900
15;7900;9100;11200;12800
18;8500;9600;11900;13500
21;9000;10100;12400;14100
24;9400;10600;13000;14700
27;9800;11100;13500;15400
30;10300;11600;14000;16000
33;10600;12100;14500;16600
36;11000;12600;15000;17200
