Age (mois);Taille -2DS;Taille -1DS;Taille +1DS;Taille +2DS
0;46;47;52;54
1;48,5;50;55;57
2;51,8;54;59;61
3;54,5;56,5;62;64
4;57;59;65;67
5;59;61;67;69
6;60,5;63,5;69;71
9;64,5;67;73;75,5
12;67,5;70;77;79
15;70,5;73;80;83
18;73;76;83;86
21;71;74;86;89
24;78;81;88,5;91,5
27;80,5;84;91;94
30;82,5;85,8;93,5;96,5
33;84,5;88;95,8;99
36;86;89,5;98;101
