Age (en mois);PC -2DS;PC -1DS;PC +1DS;PC +2DS
0;32;33,5;36,5;37,5
1;34;35;38;39,5
2;35,8;37;40;41,5
3;37;38;41,5;43
4;38;39,1;43;44
5;39;40;44;45
6;40;41;44,5;46
9;42;43;46,5;48
12;43;44,1;48;49,1
15;43,9;45;48,9;50
18;44,5;45,8;49,5;50,5
21;44,9;46;50;51,1
24;45;46,5;50,1;51,5
27;45,5;46,8;50,5;51,8
30;45,9;47;51;52
33;46;47,1;51,1;52,2
36;46,2;47,8;51,2;52,5
